Instância,Dados Iniciais,Diagnóstico Inicial,Diagnóstico do Modelo,Contribuições
1,"{'Temperature': 31.3, 'Humidity': 73.4, 'PM2.5': 72.8, 'PM10': 88.80000000000001, 'NO2': 54.1, 'SO2': 17.1, 'CO': 2.54, 'Proximity_to_Industrial_Areas': 2.5999999999999996, 'Population_Density': 755.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.1338312110222198, 'CO > 0.62': 0.07000941665098052, 'Population_Density > 0.68': 0.05609008419955941, 'PM2.5 > 0.25': -0.03902879909575999, 'Proximity_to_Industrial_Areas <= -0.84': 0.034675322226582664}"
2,"{'Temperature': 24.0, 'Humidity': 68.8, 'PM2.5': 0.8000000000000007, 'PM10': 8.600000000000001, 'NO2': 20.9, 'SO2': 2.4000000000000004, 'CO': 1.16, 'Proximity_to_Industrial_Areas': 10.5, 'Population_Density': 235.0}",Good,Good,"{'PM10 <= -0.65': -0.03573338441450829, 'Population_Density <= -0.75': -0.03527018799451452, 'PM2.5 <= -0.63': 0.01650320725977822, '-0.86 < CO <= -0.17': -0.015628220308136667, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.014510993253892268}"
3,"{'Temperature': 25.4, 'Humidity': 78.6, 'PM2.5': 4.100000000000001, 'PM10': 6.699999999999999, 'NO2': 21.3, 'SO2': 9.1, 'CO': 1.4, 'Proximity_to_Industrial_Areas': 10.1, 'Population_Density': 543.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.038778788777392444, 'PM2.5 <= -0.63': 0.028154829246922062, '-0.86 < CO <= -0.17': -0.016681678674868146, '-0.71 < NO2 <= -0.14': -0.016110505883097165, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.012693039476101575}"
4,"{'Temperature': 30.7, 'Humidity': 102.0, 'PM2.5': 7.9, 'PM10': 26.1, 'NO2': 41.6, 'SO2': 26.1, 'CO': 2.31, 'Proximity_to_Industrial_Areas': 4.8, 'Population_Density': 765.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.07136639107249972, 'Population_Density > 0.68': 0.03954483503805937, '-0.31 < PM10 <= 0.30': -0.033508549430103195, 'Proximity_to_Industrial_Areas <= -0.84': 0.029920594664698746, 'SO2 > 0.55': 0.025587352521327877}"
5,"{'Temperature': 26.5, 'Humidity': 54.1, 'PM2.5': 12.3, 'PM10': 15.3, 'NO2': 20.3, 'SO2': 5.3, 'CO': 0.99, 'Proximity_to_Industrial_Areas': 12.7, 'Population_Density': 374.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03807675218412262, 'Population_Density <= -0.75': -0.036467801985213315, 'CO <= -0.86': -0.03244512206356307, 'Humidity <= -0.74': -0.029070164978522387, '-0.73 < Temperature <= -0.15': -0.008903433269090278}"
6,"{'Temperature': 49.6, 'Humidity': 87.5, 'PM2.5': 81.9, 'PM10': 87.0, 'NO2': 40.4, 'SO2': 18.4, 'CO': 2.14, 'Proximity_to_Industrial_Areas': 2.9000000000000004, 'Population_Density': 631.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.11961482802722422, 'CO > 0.62': 0.0719224357000154, 'Population_Density > 0.68': 0.04790622802949985, 'PM2.5 > 0.25': -0.04114402048408069, 'Temperature > 0.61': 0.03470432257670993}"
7,"{'Temperature': 21.9, 'Humidity': 67.3, 'PM2.5': 12.2, 'PM10': 16.1, 'NO2': 24.1, 'SO2': 4.8, 'CO': 0.92, 'Proximity_to_Industrial_Areas': 10.3, 'Population_Density': 243.99999999999997}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03756282719012955, 'Population_Density <= -0.75': -0.029967717820656874, 'CO <= -0.86': -0.02398863884692031, 'SO2 <= -0.73': -0.018234878828144813, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.013095416129512755}"
8,"{'Temperature': 26.6, 'Humidity': 42.9, 'PM2.5': 6.1, 'PM10': 9.5, 'NO2': 25.0, 'SO2': 4.6, 'CO': 1.02, 'Proximity_to_Industrial_Areas': 10.7, 'Population_Density': 221.0}",Good,Good,"{'PM10 <= -0.65': -0.0370580482305798, 'CO <= -0.86': -0.03283746724213147, 'Population_Density <= -0.75': -0.03180584221089847, 'SO2 <= -0.73': -0.01833869465017631, 'Humidity <= -0.74': -0.016644905814570315}"
9,"{'Temperature': 23.4, 'Humidity': 69.5, 'PM2.5': 5.800000000000001, 'PM10': 12.100000000000001, 'NO2': 19.5, 'SO2': 7.8, 'CO': 1.02, 'Proximity_to_Industrial_Areas': 12.6, 'Population_Density': 412.0}",Good,Good,"{'PM10 <= -0.65': -0.03735795208054755, 'CO <= -0.86': -0.02817092476490592, 'Temperature <= -0.73': -0.014560274660408863, '-0.73 < SO2 <= -0.29': -0.012971385058259365, 'NO2 <= -0.71': -0.011652634213966548}"
10,"{'Temperature': 23.3, 'Humidity': 70.8, 'PM2.5': 23.7, 'PM10': 36.1, 'NO2': 23.5, 'SO2': 8.4, 'CO': 1.43, 'Proximity_to_Industrial_Areas': 7.6, 'Population_Density': 450.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.031915830398164015, 'Temperature <= -0.73': -0.019252466202610244, '-0.01 < Humidity <= 0.65': 0.014536969018668577, '-0.71 < NO2 <= -0.14': -0.013055995223005358, '-0.17 < CO <= 0.62': -0.006746922902913778}"
11,"{'Temperature': 30.5, 'Humidity': 87.9, 'PM2.5': 28.4, 'PM10': 38.1, 'NO2': 29.2, 'SO2': 15.2, 'CO': 1.76, 'Proximity_to_Industrial_Areas': 5.0, 'Population_Density': 496.0}",Moderate,Poor,"{'-0.31 < PM10 <= 0.30': -0.03274311463419017, 'SO2 > 0.55': 0.03223141172732972, 'PM2.5 > 0.25': -0.03031887584758313, 'Proximity_to_Industrial_Areas <= -0.84': 0.025222203759066787, 'Humidity > 0.65': 0.024634307236013533}"
